id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000316,2000316,   316 Goberta,316,Goberta,0,N,N,10.1,0,59030.00,980.00,0,0,0,62282.25,0,0.0925,8.605,0,0,0,0,0,0,0,815.06,JPL 30,2457200.5,57200,20150627,J2000,0.136519013,3.17936429,2.745320614,2.33902516,123.9232352,314.7293657,246.1927532,3.613407966,0.173857582,2457855.1,20170411.6,2070.660338,5.669159035,1.76207,685.7447819,3.184,3.69E-08,1.61E-08,0.000000116,0.00000417,0.00011283,0.00011391,0.000016514,1.83E-08,1.32E-09,0.000096793,0.000015715,MBA,Otto Matic,45297,1891-09-08,42262,1852,0,0,0,0.54,0,0,0,0,0
a0000317,2000317,   317 Roxane,317,Roxane,0,N,N,10.03,0,18650.00,160.00,0,0,0,21436.37,0,0.4928,8.169,0,0.694,0.238,0,Xe,E,0,1366.92,JPL 20,2457200.5,57200,20150627,J2000,0.085880092,2.286368389,2.090014861,1.76562858,151.3825637,187.0390349,285.2097521,2.482721916,0.285091825,2457462.837,20160315.34,1262.751047,3.457223948,1.08062,420.5448854,3.596,3.93E-08,5.76E-09,0.00000009,0.00000437,0.00014344,0.00014575,0.000026083,6.26E-09,1.08E-09,0.000091749,0.00000477,MBA,Otto Matic,45302,1891-09-11,42270,1829,0,0,0,0.55,0,0,0,0,0
a0000319,2000319,   319 Leona,319,Leona,0,N,N,10.1,0,49940.00,480.00,0,0,0,47653.41,0,0.0457,9.6,0,0,0,0,0,0,0,2362.46,JPL 27,2457200.5,57200,20150627,J2000,0.217645848,3.405572201,2.66436355,10.56274332,184.953499,228.3567879,255.909688,4.146780853,0.156826314,2457864.23,20170420.73,2295.53313,6.284827188,1.68923,657.3976391,3.08,4.17E-08,0.000000018,0.000000139,0.00000445,0.000024105,0.000025091,0.00000969,2.19E-08,1.24E-09,0.000064759,0.000018158,OMB,Otto Matic,45225,1891-10-09,42221,1632,0,0,0,0.53,0,0,0,0,0
a0000321,2000321,   321 Florentina,321,Florentina,0,N,N,10,0,27970.00,100.00,0,0,0,32028.60,0,0.2296,2.871,0,0.792,0.41,0,S,S,0,1637.98,JPL 19,2457200.5,57200,20150627,J2000,0.044477053,2.886238978,2.757867574,2.586512215,40.27089506,37.37587884,40.63014027,3.014610382,0.201004436,2456998.364,20141206.86,1791.005246,4.903505123,1.77414,690.4420638,3.289,0.000000045,1.54E-08,0.00000013,0.00000518,0.00010433,0.00011737,0.000050548,1.61E-08,1.61E-09,0.00025178,0.000014353,MBA,Otto Matic,42791,1898-02-18,42111,1738,0,0,0,0.51,0,0,0,0,0
a0000322,2000322,   322 Phaeo,322,Phaeo,0,N,N,9.01,0,66100.00,740.00,0,0,0,65069.42,0,0.0876,17.5845,0,0.719,0.23,0,X,X,0,962.13,JPL 23,2457200.5,57200,20150627,J2000,0.24628977,2.781003349,2.096070673,8.05416699,252.3720258,115.1370809,257.8772959,3.465936024,0.212520978,2457681.03,20161019.53,1693.950419,4.637783487,1.11088,432.3211696,3.274,3.87E-08,8.76E-09,0.000000107,0.00000498,0.000033265,0.00003453,0.00000988,1.09E-08,0.000000001,0.000047704,0.000008,MBA,Otto Matic,45199,1891-11-29,42246,1376,0,0,0,0.55,0,0,0,0,0
a0000323,2000323,   323 Brucia,323,Brucia,0,N,N,9.73,0,27710.00,300.00,0,0,0,30673.61,0,0.1765,9.463,0,0.893,0.48,0,0,S,0,1253.46,JPL 18,2457200.5,57200,20150627,J2000,0.300739084,2.381932751,1.665592476,24.23211945,97.4061639,291.2786003,252.1421116,3.098273026,0.268108035,2457602.793,20160802.29,1342.7423,3.676228064,0.805541,313.492391,3.361,4.43E-08,1.02E-08,0.000000106,0.00000494,0.000013802,0.000015473,0.00001191,1.33E-08,1.72E-09,0.000046544,0.00000863,MCA,Otto Matic,45191,1891-12-31,42270,1173,0,0,0,0.52,0,0,0,0,0
a0000324,2000324,   324 Bamberga,324,Bamberga,0,N,N,6.82,0.09,229000.00,8145.00,0,0,0,269261.61,0,0.0628,29.43,0,0.695,0.309,0,0,CP,0,14243.39,JPL 122,2457200.5,57200,20150627,J2000,0.338248174,2.685874832,1.777382575,11.10858731,327.9232683,44.18140152,135.8121305,3.59436709,0.223910995,2456593.955,20131028.45,1607.781701,4.401866396,0.794681,309.2660048,3.264,1.67E-08,3.07E-09,4.51E-08,0.0000022,0.000010331,0.000010877,0.0000034,4.11E-09,3.84E-10,0.000014644,0.00000276,MBA,Otto Matic,45014,1892-03-16,42169,2388,0,0,0,0.64,0,0,0,0,0
a0000328,2000328,   328 Gudrun,328,Gudrun,0,N,N,8.8,0,116139.00,4209.00,0,0,0,114375.41,0,0.0425,10.992,0,0,0,0,0,S,0,1231.12,JPL 13,2457200.5,57200,20150627,J2000,0.106107071,3.111563292,2.781404426,16.11612673,352.3289879,103.8034222,253.5407448,3.441722158,0.179570964,2457793.353,20170208.85,2004.778453,5.488784265,1.85199,720.7389483,3.15,4.43E-08,0.000000022,0.000000137,0.00000635,0.000018613,0.000033358,0.000027532,2.43E-08,1.90E-09,0.00015442,0.000021251,MBA,Otto Matic,38002,4263,42265,1149,0,0,0,0.53,0,0,0,0,0
a0000329,2000329,   329 Svea,329,Svea,0,N,N,9.6,0,69153.00,718.00,0,0,0,68611.01,0,0.0399,22.778,0,0.698,0.331,0,0,C,0,624.61,JPL 31,2457200.5,57200,20150627,J2000,0.025416456,2.47627746,2.413339262,15.88204756,178.4909984,55.90668031,181.3992488,2.539215658,0.25293278,2457906.619,20170602.12,1423.303062,3.89679141,1.43067,556.7738439,3.428,3.21E-08,8.80E-09,8.16E-08,0.00000407,0.00001564,0.000092801,0.000091124,9.02E-09,1.35E-09,0.0003608,0.00000759,MBA,Otto Matic,45088,1892-03-21,42248,1622,0,0,0,0.53,0,0,0,0,0
a0000333,2000333,   333 Badenia (1892 A),333,Badenia,0,N,N,9.46,0,72200.00,260.00,0,0,0,71982.33,0,0.0475,8.192,0,0.773,0.401,0,0,C,0,3127.93,JPL 18,2457200.5,57200,20150627,J2000,0.160956461,3.129327776,2.625642251,3.773336014,353.5845314,19.65646201,63.36870015,3.6330133,0.178044061,2456844.584,20140706.08,2021.971404,5.535856,1.6266,633.023922,3.19,4.23E-08,1.46E-08,0.000000131,0.00000532,0.000076107,0.000077618,0.000015615,0.000000017,1.25E-09,0.000087052,0.000014172,MBA,Otto Matic,44943,1892-08-27,42262,1653,0,0,0,0.56,0,0,0,0,0
a0000334,2000334,   334 Chicago (1892 L),334,Chicago,0,N,N,7.7,0,198770.00,5600.00,0,0,0,170373.44,0,0.0618,7.361,0,0.736,0.358,0,0,C,0,9233.73,JPL 136,2457200.5,57200,20150627,J2000,0.022081684,3.89596459,3.809935132,4.641540736,130.184651,148.9336976,58.36064211,3.981994049,0.12816858,2456745.157,20140328.66,2808.800724,7.690077273,2.79441,1087.50054,3.06,4.37E-08,2.64E-08,0.000000167,0.000005147,0.000057582,0.00010864,0.000092645,0.000000027,1.30E-09,0.0007236,0.000028554,OMB,Otto Matic,44944,1892-08-29,42265,1846,0,0,0,0.57,0,0,0,0,0
